,In,Out,Test,Blah,Hmm,Email,domain,provider,is_valid,is_reachable,is_billable,mailbox_status,status,score
0,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,False,inactive,unknown,14
1,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,True,active,unknown,96
2,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,True,active,valid,60
3,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,True,active,invalid,3
4,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,False,active,unknown,99
5,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,True,inactive,invalid,51
6,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,False,active,invalid,99
7,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,False,inactive,valid,82
8,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,True,inactive,valid,55
9,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,False,active,valid,66
10,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,True,inactive,valid,27
11,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,True,inactive,unknown,4
12,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,False,active,valid,69
13,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,True,active,unknown,29
14,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,True,inactive,valid,38
15,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,False,active,valid,33
16,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,False,active,invalid,53
17,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,True,inactive,unknown,80
18,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,True,inactive,invalid,24
19,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,False,active,invalid,70
20,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,False,active,invalid,61
21,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,True,active,unknown,15
22,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,False,inactive,valid,59
23,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,True,active,valid,66
24,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,False,active,valid,46
25,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,False,active,valid,19
26,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,False,inactive,invalid,51
27,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,True,inactive,invalid,47
28,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,True,active,unknown,85
29,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,True,inactive,invalid,44
30,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,True,active,valid,75
31,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,False,active,invalid,0
32,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,False,inactive,unknown,38
33,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,True,inactive,invalid,49
34,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,False,active,valid,43
35,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,False,inactive,invalid,98
36,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,True,inactive,unknown,34
37,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,False,active,unknown,38
38,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,True,active,invalid,74
39,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,True,inactive,valid,9
40,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,True,active,invalid,48
41,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,True,inactive,invalid,6
42,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,True,inactive,invalid,4
43,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,True,True,inactive,unknown,26
44,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,False,inactive,unknown,56
45,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,True,active,invalid,84
46,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,False,active,unknown,56
47,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,True,inactive,unknown,27
48,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,True,inactive,valid,45
49,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,True,inactive,valid,56
50,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,True,inactive,valid,35
51,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,True,False,inactive,valid,41
52,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,True,True,inactive,valid,75
53,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,True,inactive,valid,34
54,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,False,True,active,invalid,69
55,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,True,False,False,inactive,valid,16
56,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,True,False,True,active,unknown,8
57,54,5IH,UI4IU,54,9,jhjkj@kjhkf.vj,kjhkf.vj,Kjhkf,False,False,True,inactive,unknown,1
58,1,KJ,HJ,H,H,a@kjsd.vj,kjsd.vj,Kjsd,False,True,True,inactive,valid,38
